Date,Session,Total,Mean,Std,Num_Points,People
2024-05-23,4.0,2186.0,273.25,189.5323191437281,8.0,4
2024-05-23,5.0,818.0,136.33333333333334,68.40662735924545,6.0,2
2024-05-23,6.0,1512.0,137.45454545454547,36.62885102310373,11.0,2
2024-05-24,1.0,5214.0,186.21428571428572,87.02420146264855,28.0,3
2024-05-24,2.0,9853.0,246.325,73.17537329190918,40.0,4
2024-05-24,3.0,5665.0,202.32142857142858,97.88165703066527,29.0,3
2024-05-24,4.0,4279.0,194.5,119.61117562056371,22.0,3
2024-05-24,5.0,6267.0,164.92105263157896,92.92204858038555,38.0,2
2024-05-25,1.0,1270.0,90.71428571428571,62.872800247714515,14.0,2
2024-05-25,2.0,5439.0,132.65853658536585,83.39652563389483,41.0,2
2024-05-25,3.0,966.0,107.33333333333333,75.14818693754361,9.0,1
